STT,Tháng,Ngày phân bổ,Mã kiểu xe,Loại xe,Phiên bản,Tên màu ngoại thất,Tên màu T.A,Tên màu nội thất,Số khung,Số máy,Năm SX,Mã XHĐ,Vị trí xe vật lý/Kho,Tên SR phụ trách,Tên SR xếp xe,Ghi chú,Hợp đồng tạm xếp,Ngày xếp xe,Ngày xếp xe tạm,Trung tâm tạm xếp xe,Ngày hóa đơn đầu vào,Ngày hóa đơn bán,Ngày nhập xe về kho,Hợp đồng,Ngày giao xe,Ngày vận tải,Mã đơn vị vận tải,Tên đơn vị vận tải
223,9,12/09/2026,VF301,VF3,Base,Xám,Zenith Grey,Màu Đen,RLNVBL9K1RH726712,TZ160X30G24061300522,2024,N31909,Kho xe Quang Trung,Ô tô Vinfast Minh Đạo - Hà Huy Giáp,,Xe DEMO nhập bổ sung để khớp kho,,,,,,,12/09/2026,,,,,
224,9,12/09/2026,VF707,VF7,Plus_metal,Trắng,White,Màu Mocha Nâu,RLLV3FKC1TH821742,VFBALB267040083,2026,N31923,,Ô tô Vinfast Minh Đạo - Ocean Park2,,TC2 - 1 cầu,,,,,,,,,,,,
225,9,12/09/2026,MINIOGREEN,MINIO GREEN,MINIO GREEN,Bạc,Silver,Màu xám,RLNVMNMS8ST700334,HLSA3A25C130002,2025,N31903,Kho xe ô tô Vinfast Q12 - HCM,Ô tô Vinfast 03/2,,Xe DEMO nhập bổ sung để khớp kho,,,,,,,12/09/2026,,,,,
226,9,12/09/2026,VF713,VF7,ECO,Trắng,White,Màu Đen,RLLV3F5DXTH834638,VFCAJB268290091,2026,N31923,,Ô tô Vinfast Minh Đạo - Phạm Văn Đồng,,TC2 - có HUD,,,,,,,,,,,,
227,9,12/09/2026,VF501,VF5,Plus,Đỏ,Crimson Red,Màu Đen,RLNV5JSE3RH725299,VFCAFB247130096,2024,N31903,Kho xe ô tô Vinfast Q12 - HCM,Ô tô Vinfast 03/2,,Xe DEMO nhập bổ sung để khớp kho,,,,,,,12/09/2026,,,,,
228,9,12/09/2026,PE1U06,VF9,Plus_metal_3zones,ĐEN,Black,Màu nâu,RLLV2CFA4TH823169,VFBALB268220200; VFBALA267070057,2026,N31920,,Ô tô Vinfast Bắc Ninh,,,,,,,,,,,,,,
229,9,12/09/2026,VF503,VF5,Plus,Vàng nóc đen,Jet black roof- Summer yellow,Màu Đen,RLNV5JSE3RH758982,RLNV5JSE3RH758982,2024,N31903,Kho xe ô tô Vinfast Q12 - HCM,Ô tô Vinfast 03/2,,Xe DEMO nhập bổ sung để khớp kho,,,,,,,12/09/2026,,,,,
230,9,12/09/2026,VF609,VF6,Plus,Xanh Lá Nhạt,Urban Mint,Màu Mocha Nâu,RLLVAG8C4TH835220,VFBALB268270011,2026,N31921,Kho xe VF Quý Hạnh - Sóc Sơn,Ô tô Vinfast Times City,,TC2,,,,,,,14/09/2026,,,,,
231,9,12/09/2026,VF702,VF7,Plus_Metal,Xanh dương,Vinfast Blue,Màu Đen,RLLV3EHBXRH714268,VFCAJB245060006; VFCAJB245070043,2024,N31904,Kho xe ô tô Thuận An,Ô tô Vinfast Times City,,Xe DEMO thanh lý nhập bổ sung để khớp kho,,,,,,,12/09/2026,,,,,
232,9,12/09/2026,VF605,VF6,Plus,Màu đỏ Ruby,Solar Ruby,Màu Be,RLLVAG8CXTH833309,VFBALB268160003,2026,N31921,,Ô tô Vinfast Minh Đạo - Ocean Park2,,TC2,,,,,,,,,,,,
